StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Cconsent,PID,days,Ctime,genre,genre_8_TEXT,malleable_1,malleable_2,malleable_3,malleable_4,favorite,homophily-appear_1,homophily-appear_2,homophily-appear_3,homophily-appear_4,homophily-appear_5,homophily-behave_1,homophily-behave_2,homophily-behave_3,homophily-behave_4,homophily-behave_5,homophily-behave_6,parasocial_1,parasocial_2,parasocial_3,parasocial_4,parasocial_5,outgroup-freq,outgroup-simple,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6,behavior_7,friend
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"In this project, I want to learn more about how kids your age make sense of things. I have an activity that you can do today to help with my project. If you want to do this activity, there are no right or wrong answers. It is OK if you decide to help us, and it is also OK if you don’t want to and say “no.” Your parent said it was OK for you to be in this project, but now it is up to you. If you don’t want to do this activity, you don’t have to. 

Do you want to participate in this activity?",ENTER PARTICIPANT ID,How often do you use YouTube each week?,"When you use YouTube, how much time do you usually spend on YouTube?",What kinds of videos do you like to watch? - Selected Choice,What kinds of videos do you like to watch? - Other - Text,"In this part, we want you to think about groups of people who have a different skin color than you do. - These groups of people can’t really change the way they act.","In this part, we want you to think about groups of people who have a different skin color than you do. - These groups of people might change the way they act, but the important parts of who they are can’t really be changed.","In this part, we want you to think about groups of people who have a different skin color than you do. - If these groups of people do violent things, they can never change their ways.","In this part, we want you to think about groups of people who have a different skin color than you do. - Every group of people has basic moral beliefs that can’t really be changed.",Imagine your favorite YouTuber. Write their name below!,Imagine your favorite YouTuber as you answer the following questions. - This person looks similar to me.,Imagine your favorite YouTuber as you answer the following questions. - This person has an appearance like mine.,Imagine your favorite YouTuber as you answer the following questions. - This person has a similar skin color to mine.,Imagine your favorite YouTuber as you answer the following questions. - This person wears similar clothes to mine.,Imagine your favorite YouTuber as you answer the following questions. - This person has similar hair to mine.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber thinks like me.,Imagine your favorite YouTuber as you answer the following questions. - I like to compare my ideas with what my favorite YouTuber says.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber behaves like me.,Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber is similar to me.,"Imagine your favorite YouTuber as you answer the following questions. - If you are reading, choose ""Agree.""",Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber has the same interests as me.,Imagine your favorite YouTuber as you answer the following questions. - I think my favorite YouTuber could be a friend of mine.,"Imagine your favorite YouTuber as you answer the following questions. - If I met my favorite YouTuber, we would get along well.",Imagine your favorite YouTuber as you answer the following questions. - My favorite YouTuber would fit into my friend group.,Imagine your favorite YouTuber as you answer the following questions. - I would like to have a friendly chat with my favorite YouTuber.,Imagine your favorite YouTuber as you answer the following questions. - I like to compare my ideas with what my favorite YouTuber says.,"On YouTube, how often do you watch videos with people with a different skin color than you?","When you watch videos on YouTube, are there more people in the videos who do have the same skin color as you, or more people who do not have the same skin color as you?","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they are mean to the other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they hurt other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they are nice to other people in the video.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they use bad or inappropriate words.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... I am able to learn new things from them.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... they act like other people who look like them.","On YouTube, when I see videos of people who do not have the same skin color as me... - ... when they are around other people, they are a leader.",Which of the kids below would you want to sit with at lunch time?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_8_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID19""}"
2025-01-31 16:13:55,2025-01-31 16:18:43,IP Address,98.32.150.160,100,288,True,2025-01-31 16:18:44,R_57KHdHQpO5SLO2z,,,,,41.8018,-87.5993,anonymous,EN,YES,2,Every day,About 1 and 1/2 hours a day,Other,Gaming,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,"MrBeast! ",Agree,Agree,Really agree,Agree,Disagree,Agree,Really agree,I don't know,Agree,Agree,Really agree,I don't know,Really agree,Really agree,Really agree,Really agree,Sometimes,More people who DO have the same skin color as me,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Kid 6
2025-02-04 21:33:11,2025-02-04 21:49:05,IP Address,38.124.33.127,100,953,True,2025-02-04 21:49:05,R_6GQayewmlUglTNz,,,,,41.871,-87.6289,anonymous,EN,YES,"3
",Every day,About 30 minutes a day,Educational,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Jeff Nippard,Really disagree,Disagree,Agree,Agree,Disagree,I don't know,Disagree,I don't know,I don't know,Agree,Agree,Agree,I don't know,Agree,I don't know,Disagree,Very often,I don't know,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Kid 1
2025-02-07 14:40:09,2025-02-07 14:45:48,IP Address,75.7.146.109,100,338,True,2025-02-07 14:45:48,R_6dK3LCG6PD5SFIS,,,,,29.6138,-82.386,anonymous,EN,YES,,Every day,About 30 minutes a day,Educational,,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Dan Martell,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,I don't know,Disagree,Agree,I don't know,Really agree,I don't know,I don't know,Agree,Agree,Sometimes,I don't know,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Kid 1
2025-02-07 17:56:58,2025-02-07 18:03:33,IP Address,128.135.204.29,100,394,True,2025-02-07 18:03:33,R_7yec0aQF4WXtHya,,,,,41.7821,-87.6046,anonymous,EN,YES,4,1 to 2 days a week,About 1 hour a day,Instructional/do-it-yourself (DIY),,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Karina Garcia,Agree,Agree,Agree,I don't know,Agree,I don't know,Really disagree,I don't know,I don't know,Agree,I don't know,I don't know,I don't know,I don't know,Agree,I don't know,Sometimes,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Kid 1
2025-02-11 09:37:35,2025-02-11 18:29:33,IP Address,98.236.77.33,100,31918,True,2025-02-11 18:29:34,R_3QcmqrqUFT6QjSh,,,,,40.4324,-79.9247,anonymous,EN,YES,6,3 to 4 days a week,About 30 minutes a day,Other,Gaming,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Zoella,Really agree,Really agree,Really agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,More people who DO have the same skin color as me,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Kid 7
2025-02-14 12:07:16,2025-02-14 12:12:46,IP Address,73.36.161.233,100,330,True,2025-02-14 12:12:47,R_2hgKOeGwpetnEOZ,,,,,41.8018,-87.5993,anonymous,EN,YES,8,3 to 4 days a week,About 1 hour a day,Other,Clips from TV,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,ContraPoints,Disagree,Disagree,Really agree,Agree,Disagree,Really agree,Really agree,I don't know,I don't know,Agree,I don't know,Really agree,Really agree,Really agree,Really agree,Really agree,Often,More people who DO have the same skin color as me,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Kid 10
2025-02-14 12:31:35,2025-02-14 13:01:37,IP Address,128.135.204.71,100,1802,True,2025-02-14 13:01:38,R_3cXEZjfr60uifDN,,,,,41.7821,-87.6046,anonymous,EN,YES,9,1 to 2 days a week,About 30 minutes a day,Makeup/Fashion,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Mr. Beast,Disagree,Disagree,I don't know,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,I don't know,Agree,Agree,Agree,Really agree,Agree,Often,More people who DO have the same skin color as me,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Kid 6
2025-02-07 14:45:34,2025-02-07 14:49:46,IP Address,98.228.10.200,13,251,False,2025-02-14 14:49:48,R_7447dyTrtilR25H,,,,,41.7821,-87.6046,anonymous,EN,YES,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-25 14:59:36,2025-02-25 15:03:35,IP Address,128.135.204.62,100,239,True,2025-02-25 15:03:36,R_5GOMDMFHXyCGPVi,,,,,41.7821,-87.6046,anonymous,EN,YES,10,3 to 4 days a week,More than 2 hours,Other,Gaming,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Ruben Sim,Disagree,Disagree,I don't know,Agree,Disagree,Agree,Really agree,Really agree,Agree,Agree,Really agree,Agree,Really agree,I don't know,Agree,Really agree,Sometimes,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Kid 4
2025-02-25 15:59:05,2025-02-25 16:01:55,IP Address,128.135.204.62,100,169,True,2025-02-25 16:01:56,R_3Of612lfmevMlmh,,,,,41.7821,-87.6046,anonymous,EN,YES,11,1 to 2 days a week,About 1 and 1/2 hours a day,Sports,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Mr. Beast,Agree,Agree,Really agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,I don't know,I don't know,Agree,Disagree,Agree,I don't know,Rarely,More people who DO have the same skin color as me,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Kid 6
2025-02-25 16:05:10,2025-02-25 16:08:26,IP Address,128.135.204.62,100,195,True,2025-02-25 16:08:26,R_1HYp2Za5JcEsiXN,,,,,41.7821,-87.6046,anonymous,EN,YES,12,5 to 6 days a week,More than 2 hours,Makeup/Fashion,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Kathleen Lights,Really agree,Really agree,Really agree,Disagree,Disagree,Disagree,Disagree,I don't know,Disagree,Agree,Agree,I don't know,Agree,I don't know,Agree,Disagree,Never,More people who DO have the same skin color as me,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Kid 2
2025-02-25 16:13:40,2025-02-25 16:17:36,IP Address,128.135.204.62,100,235,True,2025-02-25 16:17:36,R_7D2CKwIeRxbARjG,,,,,41.7821,-87.6046,anonymous,EN,YES,13,3 to 4 days a week,About 30 minutes a day,Educational,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Aumsum's Science,I don't know,I don't know,I don't know,I don't know,I don't know,Agree,Really agree,I don't know,I don't know,Agree,I don't know,Agree,I don't know,I don't know,Agree,Really agree,Often,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Kid 7
2025-02-25 18:51:05,2025-02-25 18:55:57,IP Address,73.36.161.233,100,292,True,2025-02-25 18:55:58,R_6L1GhR05AiOpZEB,,,,,41.8018,-87.5993,anonymous,EN,YES,14,1 to 2 days a week,About 15 minutes a day,Other,True crime,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Rotten Mango,Really disagree,Really disagree,Really disagree,Agree,Disagree,Agree,I don't know,I don't know,Agree,Agree,Really agree,Agree,Really agree,I don't know,Agree,Agree,Often,More people who DO NOT have the same skin color as me,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Kid 4
2025-02-25 19:11:08,2025-02-25 19:16:12,IP Address,73.36.161.233,100,304,True,2025-02-25 19:16:13,R_1jKK5c6saCVseJ3,,,,,41.8018,-87.5993,anonymous,EN,YES,15,Never,,Other,none,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,don't have one,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Never,I don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 2
2025-02-25 19:16:18,2025-02-25 19:23:54,IP Address,73.36.161.233,100,456,True,2025-02-25 19:23:55,R_3FKdNL6BBsbIYQw,,,,,41.8018,-87.5993,anonymous,EN,YES,16,Every day,About 1 hour a day,Makeup/Fashion,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Emma Chamberlain,Disagree,Really disagree,Disagree,Agree,Disagree,Agree,Really agree,Disagree,Agree,Agree,Really agree,Agree,Really agree,Agree,Agree,Really agree,Often,More people who DO NOT have the same skin color as me,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Kid 9
2025-02-25 19:26:38,2025-02-25 19:35:37,IP Address,73.36.161.233,100,539,True,2025-02-25 19:35:37,R_60M6gp42LtWdPwq,,,,,41.8018,-87.5993,anonymous,EN,YES,17,1 to 2 days a week,About 45 minutes a day,Other,Gaming,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Total gaming,Disagree,Disagree,Disagree,Agree,Disagree,Really agree,Agree,Agree,Agree,Agree,Really agree,Really agree,Really agree,Really agree,Really agree,Agree,Often,More people who DO NOT have the same skin color as me,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Kid 10
2025-02-25 19:33:41,2025-02-25 19:38:50,IP Address,205.208.121.187,100,309,True,2025-02-25 19:38:51,R_1mM211d28FC9721,,,,,41.8018,-87.5993,anonymous,EN,YES,21,5 to 6 days a week,About 45 minutes a day,Educational,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Goebbels,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Really agree,Never,More people who DO have the same skin color as me,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Kid 9
2025-02-25 19:42:35,2025-02-25 19:50:03,IP Address,73.36.161.233,100,447,True,2025-02-25 19:50:03,R_1tzN6VotKzNMrJW,,,,,41.8018,-87.5993,anonymous,EN,YES,18,1 to 2 days a week,About 1 and 1/2 hours a day,Other,debates,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Jubilee,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Really agree,I don't know,I don't know,Agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Never,More people who DO have the same skin color as me,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Kid 3
2025-02-25 20:21:13,2025-02-25 20:28:10,IP Address,73.36.161.233,100,416,True,2025-02-25 20:28:10,R_1QtrxLvcGbVOpWj,,,,,41.8018,-87.5993,anonymous,EN,YES,19,Every day,More than 2 hours,Other,Gaming,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Pewdiepie,Agree,Agree,Really agree,Disagree,Disagree,Really agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Really agree,Never,More people who DO have the same skin color as me,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Kid 8
2025-02-25 20:28:27,2025-02-25 20:36:36,IP Address,73.36.161.233,100,489,True,2025-02-25 20:36:37,R_6sYXE9awU7ubfH2,,,,,41.8018,-87.5993,anonymous,EN,YES,20,1 to 2 days a week,About 15 minutes a day,Other,Gaming,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Prestonplayz,Disagree,Disagree,Disagree,I don't know,Really disagree,Agree,Agree,I don't know,Agree,Agree,Really agree,Agree,Agree,Disagree,Really agree,Agree,Very often,More people who DO NOT have the same skin color as me,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Kid 6
